0|Escoja punto turístico ...|Pick a spot ...|...
1|Aeropuerto Internacional|International Airport|Aeropuerto Internacional Jorge Chávez, Callao, Lima
2|Parque Kennedy Miraflores|Kennedy Park Miraflores|Parque Kennedy, Miraflores, Lima
3|Centro de Barranco|Centre of Barranco|Parque Municipal, Barranco, Lima
4|Plaza San Martín|Plaza San Martín|Plaza San Martin, Lima
5|Museo de Oro|Gold Museum|Museo de Oro del Peru, Santiago de Surco, Lima
6|Museo Larco|Larco Museum|Museo Larco, Avenida Simón Bolivar, Pueblo Libre
7|Larcomar|Larcomar|Larcomar, Malecón de la Reserva, Lima
8|Parque de las Aguas|Park of Waters|Reserva Park, Madre de Dios, Lima
9|Huaca Pucllana|Huaca Pucllana|Huaca Pucllana, Lima
10|Huaca Huallamarca|Huaca Huallamarca|Huaca Huallamarca, Avenida Nicolas de Rivera, San Isidro, Lima
